filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
MienBac_1.wav,0.43313816,0.036450993,1596.9755482069095,1516.5221480743096,3270.5107421875,-371.2904,119.09502,-38.221783,35.103962,-20.606493,-4.147806,17.971195,-2.510831,-1.4805527,5.3421783,-0.6878541,1.068819,5.046175,-0.60999095,6.432574,-0.48736763,-0.58203477,3.915698,-0.24348494,-0.7568057,North
MienBac_10.wav,0.45624158,0.026084574,1619.8007364397745,1587.0764661236444,3355.5908203125,-404.39407,119.792366,-35.31219,48.404232,-16.07694,-2.3520267,9.899577,-3.5882058,-1.0044024,3.716519,0.49613175,2.1034648,8.030417,-0.53451437,8.144609,-0.80016726,0.14275686,5.0491896,-1.1845028,1.37445,North
MienBac_100.wav,0.35586086,0.044271294,1706.9461912126017,1546.312108877111,3575.264223160282,-353.4348,105.985565,-44.659966,46.866547,-20.938951,-8.230049,11.73755,-15.494424,0.12719025,5.8124633,2.4554362,4.9986053,3.3237557,1.6479837,1.4596671,-1.500765,1.3925991,-0.10038585,0.1632164,4.243375,North
MienBac_1000.wav,0.42520082,0.04984103,1385.2699899983731,1330.7440694084958,2661.4479758522725,-356.92633,136.62845,-38.203022,18.403654,-11.501225,-14.014342,1.1788357,-7.945893,-13.598441,4.3163886,-1.4703901,-4.572938,-2.0554557,-8.153857,0.2431825,-4.1261654,-5.6767077,-3.412722,-4.7135124,-8.63258,North
MienBac_1001.wav,0.4161105,0.039230134,1471.7920721675507,1452.6011950702107,3053.6553054559427,-379.01587,117.311134,-30.436771,27.396723,-0.12963834,-14.98979,4.715351,-7.197467,-9.262721,7.884237,-6.4370294,-0.21297517,2.6208801,-7.5190225,3.6980572,-4.2342124,-6.5954094,-1.4191558,-3.4904735,-7.307481,North
MienBac_1002.wav,0.39203206,0.040302493,1439.360517211673,1360.2903358538554,2967.422207919034,-378.31567,136.06421,-48.287476,26.33709,-7.2075577,-19.643192,3.6187112,-10.384192,-12.748574,6.7743297,-3.5115292,-0.02958367,-0.39478174,-8.825365,3.437383,-7.1827264,-6.901815,-3.2407792,-5.4444036,-8.477482,North
MienBac_1003.wav,0.4217569,0.032335382,1507.5030017648858,1445.745673976017,3043.1142816310976,-403.09488,120.37481,-26.643965,32.476547,2.6581204,-15.843038,0.1033879,-5.3380566,-10.347637,3.1348934,-4.272796,-4.7692633,-0.13340133,-5.5417376,-0.24338,-5.448975,-5.2217474,-3.5322516,-6.137281,-7.070721,North
MienBac_1004.wav,0.3945847,0.05277834,1405.796030893831,1407.8282302374366,2909.9829501793033,-333.58713,136.24405,-40.315582,33.12911,-5.36204,-10.867774,0.5644054,-1.7364949,-14.909738,8.797097,-5.4668503,-5.822189,3.293351,-10.078872,4.65474,-11.031414,-9.216233,-5.1953807,-7.0838766,-8.793086,North
MienBac_1005.wav,0.4395353,0.030372623,1386.4963310258584,1368.6927069173921,2798.0308418843283,-426.72034,136.2087,-30.189865,20.17924,3.8083084,-18.320576,6.546703,0.18716647,-11.622182,6.2857885,-2.0170274,-5.6986623,-0.8923371,-1.702074,1.6474135,-4.493348,-5.3409333,-4.525791,-1.8898851,-6.3999887,North
MienBac_1006.wav,0.43374622,0.051087335,1501.2254675021516,1350.1737206732832,2912.5288529829545,-329.5698,137.10916,-54.489418,23.928099,-5.7758436,-11.250773,4.131419,-5.779243,-9.981533,7.161494,-3.6624527,-5.8933816,-0.13802148,-8.732716,1.4523818,-4.965908,-9.541189,-4.775648,-2.6051292,-6.5031834,North
MienBac_1007.wav,0.45456767,0.040242333,1366.0225783013198,1339.6671259351722,2782.2474037728657,-373.8445,138.93951,-43.700157,20.86745,1.7234353,-11.2540245,1.9706167,-2.7672668,-4.881848,5.733126,-2.2678542,-1.9323745,-0.55265456,-4.85939,2.7644644,-5.1860642,-7.5314164,-4.3557796,-4.3050165,-8.376381,North
MienBac_1008.wav,0.4451576,0.029798362,1422.5479019805746,1452.7927561271797,2875.3752055921054,-409.85828,139.86467,-31.427149,33.24805,-5.0769887,-8.654237,4.411428,3.6495712,-9.199787,7.406554,-2.5131426,-3.9193208,3.504717,-6.7221236,2.91489,-4.791113,-5.063659,-5.4620233,-1.5566529,-4.628481,North
MienBac_1009.wav,0.42558897,0.03297496,1281.0600195096902,1407.8642601450347,2682.0125456779233,-423.26337,132.71811,-21.793306,17.771935,-2.6562212,-10.208593,5.7892866,-0.83135235,-12.922399,4.29979,-4.5352383,-2.9434805,1.8250397,-7.1063094,2.3748841,-5.932249,-7.258228,-3.9327052,-5.505915,-8.76794,North
MienBac_101.wav,0.40529928,0.042202402,1712.0072356222445,1611.6417882163862,3514.253480972782,-392.44232,97.66186,-23.184086,35.83354,-17.18403,-5.493568,15.235486,-7.0068736,1.6106747,7.345671,0.6017241,1.4142877,5.9860287,3.508851,4.63286,1.8883828,1.4313327,3.4908972,-0.06029801,2.2851593,North
MienBac_1010.wav,0.44931078,0.024532532,1402.2902932053967,1386.7245359275917,2756.747877528902,-426.49332,139.97142,-38.619373,18.390839,-2.5103173,-12.410228,5.308823,-1.0306293,-4.2495956,8.0630665,-2.6292484,-2.5748823,-0.22213039,-4.8508387,0.1267355,-5.512904,-6.288587,-5.48529,-3.5902314,-7.9428697,North
MienBac_1011.wav,0.4103317,0.053946927,1429.19751790567,1381.376803797526,2832.78515625,-368.065,117.21219,-32.802567,20.177553,-7.9043207,-19.267399,7.7237167,-3.594056,-12.194839,5.75447,-1.1729506,-1.4775907,3.734075,-4.2243505,-1.2567209,-4.7777314,-5.827152,-3.8147328,-4.349126,-6.122159,North
MienBac_1012.wav,0.4762521,0.0317605,1650.0506075146914,1580.5974987781892,3329.9560546875,-438.83267,111.24194,-20.349733,22.68641,-11.104418,-5.7269044,6.473536,-0.55229956,-13.360664,2.7787406,-2.1728256,-4.7191806,2.0516226,-7.0655155,2.1047115,-6.2427335,-5.814837,-1.6886393,-3.413661,-3.8072746,North
